id_cluster,juridiction,target_name,label_y,label_source,label_notes
32_43,FR,VOGO,1,AMF,VOGO/ABEO completed Q4 2025
31_29_22,FR,PRODWARE,1,AMF,Phast Invest OPR multi-stage 3 closed
33_27,FR,COGELEC,,2025-2026 borderline,Small cap insufficient signal
35_28,FR,WAGA ENERGY,1,AMF,BeGreen Capital exit completed
39_36_30,FR,TRONIC'S MICROSYSTEMS S.A.,1,AMF,TDK Electronics OPR closed
41_40_34,FR,AGROGENERATION,,2025 borderline,Small cap multi-stage insufficient signal
42_37,FR,AMPLITUDE SURGICAL,1,EQS Zydus,Zydus MedTech 98.08% squeeze-out Oct 2025
47_24_6,FR,ELECTRICITE ET EAUX DE MADAGASCAR,1,AMF,Bolloré galaxy multi-stage chain
48_45_38,FR,ALTAMIR,1,Altamir 2025-09,Amboise SAS OPA succès NO delisting maintained listing
59_52,FR,M2I,1,AMF,Abilways completed
55_49_44,FR,GROUPE ETPO SA,1,AMF,SPIE Batignolles closed
366_60_51,FR,VERALLIA,1,Boursorama 2025-08,BWGI Moreira Salles 77.05% listing maintained
370_367_54,FR,UNIBEL,1,AMF,Family take-private completed
373_365_50,FR,TARKETT S.A.,1,Tarkett 2025-11,Tarkett Participation Deconinck Wendel 17€ closed CA Paris 2025-11
374_377_385,FR,NEOEN,1,Globenewswire 2025-03,Brookfield 97.73% squeeze-out March 2025
387_381_375,FR,EXCLUSIVE NETWORKS,1,AMF,CD&R take-private completed
391_386_376,FR,AURES TECHNOLOGIES,1,AMF,Advantech CO Taiwan closed
532,FR,LISI,0,AMF candidate_failure_flag,Visa standalone no suite documentaire >180j flagged failure
578,FR,[pending parse],,small cap insufficient signal,No target name extractable
402_390,FR,UTI GROUP,1,AMF,Small cap take-private closed
409_396,FR,ESKER,1,AMF,Bridgepoint take-private completed
410_388,FR,OVH GROUPE,1,AMF,Klaba family OPRA closed
413_399_392,FR,1000MERCIS,1,AMF,Multi-stage chain closed
412_400_389,FR,AUGROS COSMETIC PACKAGING,1,AMF,Small cap take-private
428_414_393,FR,GROUPE BERKEM,1,AMF,Kenerzeo SAS closed
416_398_394,FR,ALPHA MOS,1,AMF,Small cap closed
418_404,FR,LEXIBOOK,1,AMF,OPA closed
943,FR,ZODIAC AEROSPACE,1,wikipedia AMF,Safran-Zodiac Aerospace 2017-2018 historical closed legacy backfill
419_406,FR,CLASQUIN,1,AMF,Family take-private
422_434_57_383_379,FR,COMPAGNIE DU CAMBODGE,1,AMF Bollore,Bollore galaxy 5-stage chain closed
421_433_56_382_378,FR,FINANCIERE MONCEY,1,AMF Bollore,Bollore galaxy 5-stage chain closed
426_401_397,FR,MRM,1,AMF,SCOR SE closed
424_407_395,FR,ORAPI,1,AMF,Multi-stage closed
427_411,FR,EUROBIO-SCIENTIFIC,1,AMF,EB Development closed
641,FR,ETABLISSEMENTS FAUVET GIREL,0,AMF candidate_failure_flag,Standalone visa no suite micro cap failure
544,FR,SOMFY SA,0,AMF candidate_failure_flag,Family OPR aborted 2017-2018 historical legacy
539,FR,UNION FINANCIERE DE FRANCE BANQUE,0,AMF candidate_failure_flag,Aviva 2017 abandoned legacy historical
731_738,FR,DALET SA,1,AMF,Long Path Tech 2021 historical closed
830,FR,FUTUREN,1,AMF EDF Renouvelables,EDF Renouvelables OPR 2017 closed
774,FR,LE BELIER,1,AMF,Liaoning Wanda 2018 historical closed
432_417_405,FR,SQLI,1,AMF,DBAY Advisors Synsion closed
431_420,FR,WEDIA,1,AMF,Multi-stage closed
435_423_384_380_58,FR,SOCIETE INDUSTRIELLE ET FINANCIERE DE L'ARTOIS,1,AMF Bollore,Bollore galaxy 5-stage closed
463_454,FR,MONTAGNE ET NEIGE DEVELOPPEMENT,1,AMF,MND take-private closed
438_429,FR,GALIMMO,1,AMF Carmila,Carmila OPA simplifiee closed
854,FR,AUREA,0,AMF candidate_failure_flag,Standalone OPRA aborted historical
439_430,FR,GROUPE PAROT,1,AMF NDK,NDK closed
451,FR,[pending parse],,unparseable,Cannot label without target name
445,FR,[pending parse],,unparseable,Cannot label without target name
446_425_415_403,FR,NHOA,1,AMF,Taiwan Cement multi-stage closed
448_441_437,FR,MICROPOLE,1,AMF,Long multi-stage closed
452,FR,[pending parse],,unparseable,Cannot label without target name
453_447_440,FR,TRAVEL TECHNOLOGY INTERACTIVE,1,AMF,Small cap closed
455_444,FR,ADEUNIS,1,AMF,Small cap closed
456_442,FR,OSMOZIS,1,AMF,Small cap closed
457_450,FR,VOYAGEURS DU MONDE,1,AMF,Family OPRA closed
458_443,FR,TIPIAK,1,AMF,Family take-private closed
459_449_697_408_436_372_371_368,FR,IDSUD,1,AMF,8-stage long chain closed
461_369_53_46,FR,BELIEVE,1,BFM Bourse 2025-06,Upbeat BidCo Ladegaillerie EQT TCV 17.20€ delisting Q3 2025
462,FR,COVIVIO HOTELS,0,AMF candidate_failure_flag,Covivio OPE abandonné selon flag
460,FR,[pending parse],,unparseable,Cannot label without target name
326,IT,Banca Sistema Spa,,2026 recent,Banca CF+ OPAS recent
327,IT,[pending parse],,unparseable,Target not extractable
328,IT,Digital Value Spa,,2026 recent,OEP Danzig recent
329,IT,Next Re SIIQ Spa,,2026 recent,CPI Property recent
330,IT,Solutions Capital Management Sim Spa,,2026 recent,Banco di Desio recent
331,IT,Ferretti Spa,,2026 recent,Azur recent
332,IT,Tinexta Spa,,2026 recent,Borderline recent
333,IT,[pending parse],,unparseable,Target not extractable
334,IT,Health Italia Spa,,2026 recent,Lonvita small cap
335,IT,Banca Sistema Spa,,2026 recent,Same target as 326
336,IT,Eles Semiconductor Equipment Spa,,2026 recent,Borderline early 2026
337,IT,Spindox Spa,,2026 recent,BackSpin recent
338,IT,Eles Semiconductor Equipment Spa,1,Consob,Mare Engineering closed Q4 2025
339,IT,Ala Spa,1,Consob,Wing BidCo closed Q4 2025
340,IT,Almawave Spa,1,Consob,Almaviva closed
341,IT,Palingeo,1,Consob,ICOP closed Q4 2025
342,IT,Mediobanca-Banca di Credito Finanziario,1,Money.it 2025-09,MPS OPAS 86.33% adesione closed Sept 2025
343,IT,Bialetti Spa,1,Consob,Octagon BidCo closed
344,IT,Banca Popolare di Sondrio S,1,Consob BPER,BPER consolidation closed
345,IT,Alkemy S,1,Consob,Multi-stage closed
346,IT,Il Sole 24 Ore Spa,1,Consob,Zenit closed
347,IT,Illimity Bank Spa,1,Consob Banca Ifis,Banca Ifis OPAS closed
1034,IT,Banco BPM Spa,0,UniCredit 2025-07-22,UniCredit WITHDRAWAL Golden Power confirmed failure
1036,IT,Cairo Communication Spa,1,Consob,Cairo self-OPV partial completed
1035,IT,Monti Riffeser Srl,1,Consob,Monrif consolidation closed
1038,IT,Anima Holding Spa,1,Bluerating 2025-04,Banco BPM Vita 89.95% closed listing maintained
1037,IT,Beghelli Spa,1,Consob,Mandatory closed
1039,IT,Piovan Spa,1,Consob,Automation Systems closed
1040,IT,Comal Spa,1,Consob,Duferco closed
1041,IT,NVP Spa,1,Consob,Darien closed
1042,IT,Mittel Spa,1,Consob,euro 1 take-private closed
1043,IT,Intermonte Partners Sim Spa,1,Consob,Banca Generali closed
1044,IT,CIR Spa,1,Consob,Self-OPV partial closed
1045,IT,Servizi Italia Spa,1,Consob,Cometa closed
1046,IT,Defence Tech Holding S,1,Consob,Tinexta Defence mandatory closed
1047,IT,Relatech Spa,1,Consob,Gemini BidCo closed
1048,IT,Salcef Group Spa,1,Consob,Salbid closed
1049,IT,IVS Group Sa,1,Consob,Grey Sarl closed
1050,IT,Ruby Equity Investment Sàrl,1,Consob,Fnac-Darty Italy chain closed
1051,IT,Alkemy Spa,1,Consob,Retex consolidation closed
1052,IT,Eagle Spa,1,Consob,Greenthesis closed
1053,IT,Saras spa,1,Consob,Varas Vitol family closed
1054,IT,Capitolium Srl,1,Consob,Vianini closed
1055,IT,Medica Spa,1,Consob,MavenDanc closed
1056,IT,Plavisgas Srl,1,Consob,Openjobmetis closed
1057,IT,Civitanavi Systems Spa,1,Consob,Honeywell closed
1058,IT,SAES Getters Spa,1,Consob,SGG Holding closed
