id_cluster,juridiction,target_name,acquirer_name,deal_type,earliest_announcement_date,latest_event_date,events_count,expected_close_date,offer_price,currency,candidate_failure_flag,label_y,label_source,label_notes
13_10_3_2,FR,MEDIA 6,[pending parse],opr,2026-03-16,2026-05-11,4,,,,,1,,
14_4,FR,FNAC DARTY,[pending parse],opa,2026-03-12,2026-05-12,2,,,,,,,
17_15_8,FR,TERACT,[pending parse],opr,2026-02-05,2026-04-20,3,,,,,,,
20_26_12,FR,BALYO,[pending parse],opr,2026-01-07,2026-03-19,3,,,,,,,
21_16,FR,GROUPE TERA,[pending parse],opra,2026-01-05,2026-02-19,2,,,,,,,
23_18,FR,UV GERMI,[pending parse],opra,2025-12-16,2026-02-05,2,,,,,,,
25_19,FR,SOCIETE DE TAYNINH,[pending parse],opa_simplifiee,2025-12-08,2026-01-23,2,,,,,,,
32_43,FR,VOGO,ABEO,opa,2025-11-28,2025-11-28,2,,,,,,,
31_29_22,FR,PRODWARE,PHAST INVEST,opr,2025-10-24,2026-01-23,3,,,,,,,
33_27,FR,COGELEC,[pending parse],opa_simplifiee,2025-10-15,2026-01-22,2,,,,,,,
35_28,FR,WAGA ENERGY,[pending parse],opa_simplifiee,2025-10-02,2025-11-24,2,,,,,,,
39_36_30,FR,TRONIC'S MICROSYSTEMS S.A.,TDK ELECTRONICS AG,opr,2025-09-09,2025-11-13,3,,,,,,,
41_40_34,FR,AGROGENERATION,[pending parse],opa_simplifiee,2025-08-18,2025-10-13,3,,,,,,,
42_37,FR,AMPLITUDE SURGICAL,[pending parse],opa_simplifiee,2025-07-30,2025-11-28,2,,,,,,,
47_24_6,FR,ELECTRICITE ET EAUX DE MADAGASCAR,[pending parse],opa,2025-07-02,2026-04-28,3,,,,,,,
48_45_38,FR,ALTAMIR,AMBOISE SAS,opa_simplifiee,2025-06-16,2025-11-28,3,,,,,,,
59_52,FR,M2I,ABILWAYS,opa_simplifiee,2025-06-06,2025-06-06,2,,,,,,,
55_49_44,FR,GROUPE ETPO SA,GROUPE SPIE BATIGNOLLES SAS,opr,2025-05-22,2025-07-18,3,,,,,,,
366_60_51,FR,VERALLIA,[pending parse],opa,2025-04-24,2025-11-28,3,,,,,,,
370_367_54,FR,UNIBEL,[pending parse],opa_simplifiee,2025-03-25,2025-05-26,3,,,,,,,
373_365_50,FR,TARKETT S.A.,[pending parse],opr,2025-02-24,2025-06-06,3,,,,,,,
374_377_385,FR,NEOEN,[pending parse],opa_simplifiee,2025-02-12,2026-01-30,3,,,,,,,
387_381_375,FR,EXCLUSIVE NETWORKS,[pending parse],opa_simplifiee,2024-12-19,2025-02-12,3,,,,,,,
391_386_376,FR,AURES TECHNOLOGIES,"ADVANTECH CO, LTD",opa,2024-12-05,2025-02-12,3,,,,,,,
532,FR,LISI,[pending parse],opra,2024-12-04,2024-12-04,1,,,,Y,,,
578,FR,[pending parse],[pending parse],ope,2024-11-21,2024-11-21,1,,,EUR,,,,
402_390,FR,UTI GROUP,[pending parse],opa_simplifiee,2024-11-07,2024-12-16,2,,,,,,,
409_396,FR,ESKER,[pending parse],opa,2024-10-25,2024-12-11,2,,,,,,,
410_388,FR,OVH GROUPE,[pending parse],opra,2024-10-25,2024-12-17,2,,,,,,,
413_399_392,FR,1000MERCIS,[pending parse],opr,2024-10-22,2024-12-05,3,,,,,,,
412_400_389,FR,AUGROS COSMETIC PACKAGING,[pending parse],opa_simplifiee,2024-10-22,2024-12-17,3,,,,,,,
428_414_393,FR,GROUPE BERKEM,KENERZEO SAS,opa_simplifiee,2024-10-22,2024-12-05,3,,,,,,,
416_398_394,FR,ALPHA MOS,[pending parse],opr,2024-10-18,2024-12-05,3,,,,,,,
418_404,FR,LEXIBOOK,[pending parse],opa,2024-10-15,2024-11-06,2,,,,,,,
943,FR,ZODIAC AEROSPACE,SAFRAN,opa,2024-10-15,2024-10-15,1,,,,Y,,,
419_406,FR,CLASQUIN,[pending parse],opa,2024-10-14,2024-11-06,2,,,,,,,
422_434_57_383_379,FR,COMPAGNIE DU CAMBODGE,BOLLORE SE,opr,2024-10-11,2025-12-12,5,,,,,1,,
421_433_56_382_378,FR,FINANCIERE MONCEY,BOLLORE SE,opr,2024-10-11,2025-12-12,5,,,,,1,,
426_401_397,FR,MRM,SCOR SE,opa_simplifiee,2024-10-09,2024-12-11,3,,,,,,,
424_407_395,FR,ORAPI,[pending parse],opr,2024-10-09,2024-12-11,3,,,,,,,
427_411,FR,EUROBIO-SCIENTIFIC,EB DEVELOPMENT,opa,2024-09-30,2024-11-05,2,,,,,,,
641,FR,ETABLISSEMENTS FAUVET GIREL,[pending parse],opa_simplifiee,2024-09-26,2024-09-26,1,,,,Y,,,
544,FR,SOMFY SA,[pending parse],opa_simplifiee,2024-09-26,2024-09-26,1,,,,Y,,,
539,FR,UNION FINANCIERE DE FRANCE BANQUE,[pending parse],opa_simplifiee,2024-09-26,2024-09-26,1,,,,Y,,,
731_738,FR,DALET SA,[pending parse],opa_simplifiee,2024-09-25,2024-09-25,2,,,,,,,
830,FR,FUTUREN,EDF RENOUVELABLES,opr,2024-09-25,2024-09-25,1,,,,Y,,,
774,FR,LE BELIER,[pending parse],opa_simplifiee,2024-09-25,2024-09-25,1,,,,Y,,,
432_417_405,FR,SQLI,SYNSION BIDCO.,opa_simplifiee,2024-09-20,2024-11-06,3,,,,,,,
431_420,FR,WEDIA,[pending parse],opa_simplifiee,2024-09-20,2025-03-21,2,,,,,,,
435_423_384_380_58,FR,SOCIETE INDUSTRIELLE ET FINANCIERE DE L'ARTOIS,BOLLORE SE,opr,2024-09-17,2025-11-28,5,,,,,1,,
463_454,FR,MONTAGNE ET NEIGE DEVELOPPEMENT,[pending parse],opr,2024-09-16,2025-03-21,2,,,,,,,
438_429,FR,GALIMMO,CARMILA SA,opa_simplifiee,2024-09-06,2024-09-26,2,,,,,,,
854,FR,AUREA,[pending parse],opra,2024-08-29,2024-08-29,1,,,,Y,,,
439_430,FR,GROUPE PAROT,NDK,opa_simplifiee,2024-08-28,2024-09-26,2,,,,,,,
451,FR,[pending parse],[pending parse],opa,2024-08-06,2024-08-06,1,,,EUR,,,,
445,FR,[pending parse],[pending parse],opa,2024-07-10,2024-07-10,1,,,EUR,,,,
446_425_415_403,FR,NHOA,TAIWAN CEMENT EUROPE HOLDINGS B.V.,opa_simplifiee,2024-07-09,2024-12-17,4,,,,,1,,
448_441_437,FR,MICROPOLE,[pending parse],opa,2024-06-26,2025-03-21,3,,,,,,,
452,FR,[pending parse],[pending parse],opa,2024-06-18,2024-06-18,1,,,EUR,,,,
453_447_440,FR,TRAVEL TECHNOLOGY INTERACTIVE,[pending parse],opa_simplifiee,2024-06-14,2024-07-24,3,,,,,,,
455_444,FR,ADEUNIS,[pending parse],opa_simplifiee,2024-06-13,2024-07-10,2,,,,,,,
456_442,FR,OSMOZIS,[pending parse],opa_simplifiee,2024-06-11,2024-07-10,2,,,,,,,
457_450,FR,VOYAGEURS DU MONDE,[pending parse],opra,2024-06-07,2024-06-25,2,,,,,,,
458_443,FR,TIPIAK,[pending parse],opa_simplifiee,2024-06-06,2024-07-10,2,,,,,,,
459_449_697_408_436_372_371_368,FR,IDSUD,[pending parse],opra,2024-06-05,2025-04-16,8,,,,,1,,
461_369_53_46,FR,BELIEVE,[pending parse],opa_simplifiee,2024-05-31,2025-11-28,4,,,,,1,,
462,FR,COVIVIO HOTELS,COVIVIO,ope,2024-05-31,2024-05-31,1,,,,Y,,,
460,FR,[pending parse],[pending parse],opa,2024-05-31,2024-05-31,1,,,EUR,,,,
326,IT,Banca Sistema Spa,Banca CF+ Credito Fondiario Spa,opas,2026-05-11,2026-05-11,1,2026-06-12,1.890000,EUR,,,,
327,IT,[pending parse],Cir Spa,opa_volontaire_parziale,2026-04-27,2026-04-27,1,2026-05-18,0.680000,EUR,,,,
328,IT,Digital Value Spa,Oep Danzig BidCo Spa,opa_obligatoire,2026-04-24,2026-04-24,1,2026-05-15,29.000000,EUR,,,,
329,IT,Next Re SIIQ Spa,CPI Property Group Sa,opa_volontaire_totalitaria,2026-04-20,2026-04-20,1,2026-05-15,3.000000,EUR,,,,
330,IT,Solutions Capital Management Sim Spa,Banco di Desio e della Brianza Spa,opa_volontaire_totalitaria,2026-03-30,2026-03-30,1,2026-04-24,4.610000,EUR,,,,
331,IT,Ferretti Spa,Azúr as,opa_volontaire_parziale,2026-03-16,2026-03-16,1,2026-04-13,3.500000,EUR,,,,
332,IT,Tinexta Spa,[pending parse],opa_obligatoire,2026-02-23,2026-02-23,1,2026-03-20,15.000000,EUR,,,,
333,IT,[pending parse],[pending parse],opa_obligatoire,2026-02-16,2026-02-16,1,2026-03-06,5.000000,EUR,,,,
334,IT,Health Italia Spa,Lonvita Spa,opa_obligatoire,2026-02-09,2026-02-09,1,2026-03-06,300.000000,EUR,,,,
335,IT,Banca Sistema Spa,Banca CF+ Credito Fondiario Spa,opas,2026-01-16,2026-01-16,1,2026-02-27,1.800000,EUR,,,,
336,IT,Eles Semiconductor Equipment Spa,Ebidco srl,opa_obligatoire,2026-01-05,2026-01-05,1,2026-02-06,2.650000,EUR,,,,
337,IT,Spindox Spa,BackSpin Spa,opa_obligatoire,2025-12-15,2025-12-15,1,2026-01-16,13.000000,EUR,,,,
338,IT,Eles Semiconductor Equipment Spa,Mare Engineering Group Spa,opa_volontaire_totalitaria,2025-12-05,2025-12-05,1,2025-12-30,2.610000,EUR,,,,
339,IT,Ala Spa,Wing BidCo Spa,opa_obligatoire,2025-12-01,2025-12-01,1,2025-12-19,36.080000,EUR,,,,
340,IT,Almawave Spa,Almaviva Spa,opa_volontaire_totalitaria,2025-11-17,2025-11-17,1,2025-12-05,4.300000,EUR,,,,
341,IT,Palingeo,Icop Spa Società Benefit,opa_obligatoire,2025-10-27,2025-10-27,1,2025-11-14,6.000000,EUR,,,,
342,IT,Mediobanca-Banca di Credito Finanziario Spa,Banca Monte dei Paschi di Siena Spa,opas,2025-07-14,2025-07-14,1,2025-09-08,,EUR,,,,
343,IT,Bialetti Spa,Octagon BidCo Spa,opa_obligatoire,2025-07-07,2025-07-07,1,2025-07-25,0.467000,EUR,,,,
344,IT,Banca Popolare di Sondrio S,[pending parse],opas,2025-06-16,2025-06-16,1,2025-07-11,,EUR,,,,
345,IT,Alkemy S,[pending parse],opa_volontaire_totalitaria,2025-06-09,2025-06-09,1,2025-07-04,12.000000,EUR,,,,
346,IT,Il Sole 24 Ore Spa,Zenit Spa,opa_volontaire_totalitaria,2025-06-03,2025-06-03,1,2025-06-30,1.100000,EUR,,,,
347,IT,Illimity Bank Spa,Banca Ifis Spa,opas,2025-05-19,2025-05-19,1,2025-06-27,1.414000,EUR,,,,
1034,IT,Banco BPM Spa,[pending parse],opas,2025-04-28,2025-04-28,1,2025-06-23,3828060000.000000,EUR,Y,,,
1036,IT,Cairo Communication Spa,Cairo Communication Spa,opa_volontaire_parziale,2025-04-07,2025-04-07,1,2025-05-07,2.900000,EUR,,,,
1035,IT,Monti Riffeser Srl,Monrif Spa,opa_volontaire_totalitaria,2025-04-07,2025-04-07,1,2025-04-29,,EUR,,,,
1038,IT,Anima Holding Spa,Banco BPM Vita Spa,opa_volontaire_totalitaria,2025-03-17,2025-03-17,1,2025-04-04,7.000000,EUR,,,,
1037,IT,Beghelli Spa,[pending parse],opa_obligatoire,2025-03-17,2025-03-17,1,2025-04-04,0.337500,EUR,,,,
1039,IT,Piovan Spa,Automation Systems Spa,opa_obligatoire,2025-03-03,2025-03-03,1,2025-03-21,,EUR,,,,
1040,IT,Comal Spa,Duferco Solar Projects Srl,opa_volontaire_totalitaria,2025-02-17,2025-02-17,1,2025-03-07,,EUR,,,,
1041,IT,NVP Spa,Darien Spa,opa_volontaire_totalitaria,2025-02-10,2025-02-10,1,2025-02-28,3.900000,EUR,,,,
1042,IT,Mittel Spa,euro 1,opa_volontaire_totalitaria,2025-01-30,2025-01-30,1,2025-02-27,1.750000,EUR,,,,
1043,IT,Intermonte Partners Sim Spa,Banca Generali Spa,opa_volontaire_totalitaria,2024-12-23,2024-12-23,1,2025-01-24,3.040000,EUR,,,,
1044,IT,CIR Spa,CIR Spa,opa_volontaire_parziale,2024-11-25,2024-11-25,1,2024-12-13,0.610000,EUR,,,,
1045,IT,Servizi Italia Spa,Cometa Srl,opa_volontaire_totalitaria,2024-10-28,2024-10-28,1,2024-11-15,2.370000,EUR,,,,
1046,IT,Defence Tech Holding S,Tinexta Defence S,opa_obligatoire,2024-10-14,2024-10-14,1,2024-11-07,3.150000,EUR,,,,
1047,IT,Relatech Spa,Gemini BidCo Srl,opa_obligatoire,2024-10-07,2024-10-07,1,2024-10-25,2.530000,EUR,,,,
1048,IT,Salcef Group Spa,Salbid Spa,opa_volontaire_totalitaria,2024-10-07,2024-10-07,1,2024-11-08,26.000000,EUR,,,,
1049,IT,IVS Group Sa,Grey Sarl,opa_volontaire_totalitaria,2024-09-09,2024-09-09,1,2024-09-27,7.150000,EUR,,,,
1050,IT,Ruby Equity Investment Sàrl,Fnac-Darty Sa,opas,2024-09-02,2024-09-02,1,2024-10-25,9.000000,EUR,,,,
1051,IT,Alkemy Spa,Retex Spa - Società Benefit,opa_volontaire_totalitaria,2024-08-19,2024-08-19,1,2024-09-20,12.000000,EUR,,,,
1052,IT,Eagle Spa,Greenthesis Spa,opa_volontaire_totalitaria,2024-08-19,2024-08-19,1,2024-09-12,2.293000,EUR,,,,
1053,IT,Saras spa,Varas Spa,opa_obligatoire,2024-07-12,2024-07-12,1,2024-08-09,1.600000,EUR,,,,
1054,IT,Capitolium Srl,Vianini Spa,opa_volontaire_totalitaria,2024-07-08,2024-07-08,1,2024-07-26,0.860000,EUR,,,,
1055,IT,Medica Spa,MavenDanc Srl,opa_volontaire_totalitaria,2024-07-01,2024-07-01,1,2024-07-19,27.000000,EUR,,,,
1056,IT,Plavisgas Srl,Openjobmetis Spa,opa_obligatoire,2024-06-10,2024-06-10,1,2024-06-28,16.500000,EUR,,,,
1057,IT,Civitanavi Systems Spa,Honeywell II Srl,opa_volontaire_totalitaria,2024-05-27,2024-05-27,1,2024-07-19,6.170000,EUR,,,,
1058,IT,SAES Getters Spa,SGG Holding Spa,opa_volontaire_totalitaria,2024-05-27,2024-05-27,1,2024-06-21,26.300000,EUR,,,,
